"Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells","patient_id","convergeCode","convergeMessage","RMSE_weighted","Root_mean_squared_geneExpr_weighted","spearmanR","spearmanP","pearsonR","pearsonP","regline_a_x","regline_b","regline_a_x_through0","sum_mRNAProportions"
0.106561191226616,0.0452902035042096,0.062094747481199,5.65588108918539e-06,0.0521265117297336,0.0445489555262208,7.84309252436225e-08,0.689372656220007,"TCGA-D3-A3CF",0,"",103.159981888496,200.415855130511,0.666394908478855,0,0.796825412804468,1.66287394466526e-22,0.644906389929323,20.2487917011884,0.69486503083805,0.380749051800932
0.0854520807731464,0.0116667145219152,2.47682337066715e-07,5.16262009797255e-07,0.0247806037247704,0.0427585878723507,0.000264424596760928,0.83507682456671,"TCGA-DA-A95V",0,"",116.585182275949,171.808209184485,0.555136229749632,6.13648534893002e-09,0.714685036815725,2.01978053649388e-16,0.483938265945976,22.371619745885,0.521550669002504,0.247244255821197
0.0133912851482463,0.31285697284416,2.78668282051671e-05,3.11145967989541e-07,0.123779252274465,0.0158076529696753,0.000683961036792794,0.533452697752487,"TCGA-EB-A57M",0,"",360.128210188428,890.609674834753,0.733641910372396,0,0.87998701363184,1.78591562503109e-32,0.865576267001676,57.0749617989889,0.88653164731187,0.487269138787535
0.000282614341804715,0.0560386902989596,0.0357916009735622,0.0215103161210889,0.036896416698035,0.00477253167848678,8.28449548768694e-10,0.844707829059613,"TCGA-EE-A20H",0,"",66.3608278579865,165.097864213147,0.584446665264044,1.2196817175531e-10,0.878431950666966,3.1704467473343e-32,0.834514003290654,8.28665519351556,0.855117792248295,0.164878274987727
0.000665471104199805,0.0291069341442137,0.039600944462467,0.0192071486026945,0.0270598384636451,0.019863692565872,0.000381968828250831,0.864114001828657,"TCGA-GN-A4U5",0,"",62.1759528443489,113.74163820044,0.645013675573322,0,0.781191094462938,3.78616866712988e-21,0.626439628057053,10.157968165991,0.668463426713526,0.177008678778314
0.000714354068362335,0.0788117389857563,0.0173252071395269,0.00533096608109419,0.0351629173932024,0.00986458809112775,1.56888914342137e-08,0.852790212552039,"TCGA-W3-AA1O",0,"",81.9751444838285,225.631686847942,0.701543761834631,0,0.896724141695368,2.12977755948589e-35,0.867798152885836,11.849457533047,0.888032714446358,0.167908739806124
0.011671938601837,0.00426389350101268,0.028421542316256,0.00521314179471768,0.0363143316831906,0.0197053920712631,3.61131787438727e-10,0.894409759670591,"TCGA-Z2-AA3S",0,"",53.5828550657247,79.9751874870996,0.595071533768146,0,0.724286996730029,5.11362582168052e-17,0.514873308578681,8.87911983021009,0.555313912946966,0.148077421940272
0.00397304142681692,0.0542796449043069,0.0295533277580331,0.00731217008688699,0.017041709227623,0.0105042153992488,1.6801173241087e-08,0.877335874395911,"TCGA-WE-A8JZ",0,"",90.6497211779565,172.251548693884,0.683412724246027,1.22963260219402e-14,0.779669156932735,5.06261037203235e-21,0.661596960443733,12.65554091749,0.690381675506605,0.145187372313277
0.0216891433566767,0.140755742409032,0.0226419748272691,2.62533065339846e-08,0.0414561880558792,0.0695011237633797,3.28812308491267e-06,0.703952513211372,"TCGA-ER-A3ET",0,"",135.057719207379,394.147315849243,0.759977382473954,1.78436136373728e-19,0.907048690208806,1.83090939230041e-37,0.873081255827001,22.8931318765101,0.899590848097311,0.401896161522073
0.00162492685223121,0.0901516116715617,0.0327084482097119,0.007226843389266,0.0336115022049003,0.010687824587422,2.22015804289823e-09,0.823988840864749,"TCGA-ER-A19C",0,"",93.119113928156,257.106650317444,0.686855670103093,0,0.907830567210046,1.24881895023152e-37,0.896994073024977,11.8791412845192,0.915511483507292,0.197494661445581
