"patient_id","cell_type","n_cells","gln_score","ifng_score","curated_gln_score","curated_ifng_score","gln_detected","ifng_detected"
"Tumor 71","Macrophage",2,-0.0271661457738387,0.812764381753414,-0.150800678110834,0.560589063132593,0.142857142857143,0.543478260869565
"Tumor 72","T cell",117,-0.200300687144485,-0.175559796273961,-0.224348887698343,-0.165281933848172,0.0952380952380952,0.347826086956522
"Tumor 72","NK cell",1,-0.194988601397712,-0.133935431284225,-0.0587933129226939,0.202092395686201,0.142857142857143,0.391304347826087
"Tumor 72","B cell",35,-0.212148966263175,-0.315837120693715,-0.244905508296872,-0.114009800697915,0.0952380952380952,0.304347826086957
"Tumor 74","T cell",118,-0.181774646335423,0.253009449486089,-0.23642960733114,0.0685227561007376,0.0952380952380952,0.478260869565217
"Tumor 74","NK cell",1,-0.305330461213072,-0.166886543018607,-0.47702081387724,-0.00320814257310205,0.0476190476190476,0.391304347826087
"Tumor 74","B cell",13,-0.223619203884301,-0.350524361504491,-0.412434020039904,-0.107065084230083,0.0952380952380952,0.260869565217391
"Tumor 74","Macrophage",5,-0.0586996552871383,0.282933798164505,-0.222903262742801,0.492416453583488,0.0952380952380952,0.565217391304348
"Tumor 75","Malignant",3,-0.313160489843182,0.0649833942467174,-0.02402128309181,0.0218602728108644,0.0476190476190476,0.391304347826087
"Tumor 75","T cell",338,-0.11026024804088,0.40712517222781,-0.103340221662251,0.141838428763074,0.142857142857143,0.652173913043478
"Tumor 75","Macrophage",1,-0.0733524441678571,0.0642046261342721,0.0305535869242277,0.266543894558058,0.285714285714286,0.434782608695652
"Tumor 78","Malignant",120,0.420757215234036,-0.236581265853972,0.601844119116689,-0.0678995796763157,0.428571428571429,0.478260869565217
"Tumor 78","T cell",1,-0.130858399031269,-0.0436030194871354,0.0266213795296634,-0.241541972492829,0.0952380952380952,0.391304347826087
"Tumor 78","B cell",1,-0.140643909553296,-0.265664548732831,-0.216648500393138,-0.138694733484506,0.0952380952380952,0.260869565217391
"Tumor 78","CAF",1,0.227471741548559,0.0210769279592273,0.063330636453408,0.332904456612089,0.238095238095238,0.478260869565217
"Tumor 79","Malignant",468,0.153929097327186,-0.190599482044362,0.22724144260003,-0.0719752976271929,0.238095238095238,0.391304347826087
"Tumor 79","T cell",295,-0.172193110553812,0.0618441009464856,-0.250109954906813,-0.0159836240524225,0.0952380952380952,0.434782608695652
"Tumor 79","NK cell",1,0.00332223258356045,0.241471108582484,0.0160152444412921,0.0655828220853366,0.142857142857143,0.434782608695652
"Tumor 79","B cell",78,-0.242473569930348,-0.270728674016915,-0.326090771877246,-0.0758094324935939,0.0952380952380952,0.304347826086957
"Tumor 79","Endothelial",2,-0.254623614879688,-0.18889106875088,-0.31926309993762,0.291425615110022,0.0714285714285714,0.369565217391304
"Tumor 79","CAF",1,-0.123451572041776,-0.530411665758581,0.044699658118605,0.292603200183748,0.142857142857143,0.347826086956522
"Tumor 80","Malignant",125,0.459350490021644,-0.198766765269739,0.589626758098839,0.0283993914294255,0.428571428571429,0.434782608695652
"Tumor 80","T cell",212,-0.101661243852074,0.175570035733112,-0.139063668924351,0.070311367646662,0.142857142857143,0.521739130434783
"Tumor 80","NK cell",3,0.0948704175678129,-0.0525364269904073,0.146420248394896,0.10026254621061,0.19047619047619,0.434782608695652
"Tumor 80","B cell",49,-0.0935741061594679,-0.125945373401348,-0.239436858148245,-0.0198019401914627,0.142857142857143,0.391304347826087
"Tumor 80","Endothelial",27,0.245464939958567,-0.25048997591066,0.234175558361999,0.103518549836528,0.238095238095238,0.347826086956522
"Tumor 80","CAF",20,0.466772286472544,-0.315225778230529,0.769097887565466,0.0935656163575424,0.476190476190476,0.391304347826087
"Tumor 81","Malignant",133,0.471283292276815,-0.411412636726598,0.410086676283099,-0.130316359835868,0.428571428571429,0.391304347826087
"Tumor 81","T cell",43,-0.275903147269604,-0.283131017919548,-0.375193128474659,-0.210685309721742,0.0476190476190476,0.347826086956522
"Tumor 81","B cell",3,-0.256443951340041,-0.375601122433972,-0.371622444359038,-0.270507635236608,0.0476190476190476,0.260869565217391
"Tumor 81","Endothelial",2,-0.0885085275122558,-0.266959382012938,0.0672100464460366,-0.0269451372041807,0.119047619047619,0.304347826086957
"Tumor 82","Malignant",32,0.318142815168955,-0.423003259937732,0.267428355758924,-0.063644730009694,0.333333333333333,0.347826086956522
"Tumor 82","T cell",24,-0.122761910194808,-0.0530468104890969,-0.311187576161566,-0.136467612637767,0.0952380952380952,0.391304347826087
"Tumor 82","NK cell",2,-0.354396666127095,-0.408766968521817,-0.152595744242558,0.0041321473044189,0.0476190476190476,0.239130434782609
"Tumor 82","B cell",1,0.0611415876625343,-0.296202199063776,-0.183951329276807,-0.146055945448753,0.142857142857143,0.304347826086957
"Tumor 82","Macrophage",4,0.0698932983105831,0.59705424575128,0.131765040365235,0.640648706994743,0.214285714285714,0.58695652173913
"Tumor 82","CAF",5,0.00948246307338413,-0.308122761969144,-0.0182142748848281,0.167343664780775,0.238095238095238,0.304347826086957
"Tumor 84","Malignant",14,0.255664927527269,-0.0725986356799395,0.294100392771892,0.109251559780199,0.30952380952381,0.478260869565217
"Tumor 84","T cell",59,-0.257934047179995,0.0859761792751473,-0.296579983461935,-0.0257969928486624,0.0952380952380952,0.434782608695652
"Tumor 84","NK cell",7,-0.156431386533172,-0.177067213903889,-0.423631295800803,-0.0975608330405583,0.0952380952380952,0.347826086956522
"Tumor 84","B cell",25,-0.203100409835606,-0.173052052057202,-0.215633722421898,-0.0691274680026094,0.0952380952380952,0.347826086956522
"Tumor 84","Macrophage",21,-0.106258104749684,0.174849563670458,0.0319882375695007,0.435915272768709,0.142857142857143,0.478260869565217
"Tumor 84","Endothelial",1,-0.0543576960251248,-0.484719644337594,-0.27256537212251,-0.0854887944673394,0.142857142857143,0.260869565217391
"Tumor 84","CAF",1,0.234579504126407,0.50587628634847,0.746488944168124,0.468565607734663,0.333333333333333,0.608695652173913
"Tumor 88","Malignant",117,0.173079086249666,-0.331991608251964,0.485298834186146,-0.167097893725066,0.333333333333333,0.391304347826087
"Tumor 88","T cell",109,-0.144432271858086,0.171157158818737,-0.209221355621361,-0.0280295840735968,0.142857142857143,0.478260869565217
"Tumor 88","NK cell",9,-0.288958817971527,-0.114996501377174,-0.0366956124531309,0.0100719436986682,0.0952380952380952,0.434782608695652
"Tumor 88","B cell",16,-0.034203259315956,-0.101495986522239,-0.0672854979573545,0.00721517267914955,0.19047619047619,0.434782608695652
"Tumor 88","Macrophage",38,0.0565059078608895,0.473878078196431,-0.00591579525566965,0.326483044874176,0.238095238095238,0.608695652173913
"Tumor 88","CAF",2,0.303537095899468,-0.195315363502705,0.529047823163616,0.247395263904341,0.30952380952381,0.478260869565217
